PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG
2071,Olumide Oyedeji,2000,2,13,42,Draft,1610612760,Seattle,SuperSonics,SEA,DJK Wurzburg (Germany),Other Team/Club,1
2072,Michael Redd,2000,2,14,43,Draft,1610612749,Milwaukee,Bucks,MIL,Ohio State,College/University,1
2073,Brian Cardinal,2000,2,15,44,Draft,1610612765,Detroit,Pistons,DET,Purdue,College/University,1
2074,Jabari Smith,2000,2,16,45,Draft,1610612758,Sacramento,Kings,SAC,Louisiana State,College/University,1
2075,DeeAndre Hulett,2000,2,17,46,Draft,1610612761,Toronto,Raptors,TOR,Las Vegas Silver Bandits (IBL),Other Team/Club,0
2076,Josip Sesar,2000,2,18,47,Draft,1610612760,Seattle,SuperSonics,SEA,KK Cibona (Croatia),Other Team/Club,0
2077,Mark Karcher,2000,2,19,48,Draft,1610612755,Philadelphia,76ers,PHI,Temple,College/University,1
2078,Jason Hart,2000,2,20,49,Draft,1610612749,Milwaukee,Bucks,MIL,Syracuse,College/University,1
2079,Kaniel Dickens,2000,2,21,50,Draft,1610612762,Utah,Jazz,UTA,Idaho,College/University,1
2080,Igor Rakocevic,2000,2,22,51,Draft,1610612750,Minnesota,Timberwolves,MIN,Red Star Belgrade (Serbia),Other Team/Club,1
2081,Ernest Brown,2000,2,23,52,Draft,1610612748,Miami,Heat,MIA,Indian Hills Community College,College/University,1
2082,Dan McClintock,2000,2,24,53,Draft,1610612743,Denver,Nuggets,DEN,Northern Arizona,College/University,1
2083,Cory Hightower,2000,2,25,54,Draft,1610612759,San Antonio,Spurs,SAS,Indian Hills Community College,College/University,0
2084,Chris Porter,2000,2,26,55,Draft,1610612744,Golden State,Warriors,GSW,Auburn,College/University,1
2085,Jaquay Walls,2000,2,27,56,Draft,1610612754,Indiana,Pacers,IND,Colorado,College/University,0
2086,Scoonie Penn,2000,2,28,57,Draft,1610612737,Atlanta,Hawks,ATL,Ohio State,College/University,0
2087,Pete Mickeal,2000,2,29,58,Draft,1610612742,Dallas,Mavericks,DAL,Cincinnati,College/University,0
2198,Kwame Brown,2001,1,1,1,Draft,1610612764,Washington,Wizards,WAS,Glynn Academy,High School,1
2199,Tyson Chandler,2001,1,2,2,Draft,1610612746,Los Angeles,Clippers,LAC,Dominguez,High School,1
2200,Pau Gasol,2001,1,3,3,Draft,1610612737,Atlanta,Hawks,ATL,FC Barcelona Basquet (Spain),Other Team/Club,1
2201,Eddy Curry,2001,1,4,4,Draft,1610612741,Chicago,Bulls,CHI,Thornwood,High School,1
2202,Jason Richardson,2001,1,5,5,Draft,1610612744,Golden State,Warriors,GSW,Michigan State,College/University,1
2203,Shane Battier,2001,1,6,6,Draft,1610612763,Memphis,Grizzlies,MEM,Duke,College/University,1
2204,Eddie Griffin,2001,1,7,7,Draft,1610612751,New Jersey,Nets,NJN,Seton Hall,College/University,1
2205,DeSagana Diop,2001,1,8,8,Draft,1610612739,Cleveland,Cavaliers,CLE,Oak Hill Academy,High School,1
2206,Rodney White,2001,1,9,9,Draft,1610612765,Detroit,Pistons,DET,North Carolina-Charlotte,College/University,1
2207,Joe Johnson,2001,1,10,10,Draft,1610612738,Boston,Celtics,BOS,Arkansas,College/University,1
2208,Kedrick Brown,2001,1,11,11,Draft,1610612738,Boston,Celtics,BOS,Northwest Florida State,College/University,1
2209,Vladimir Radmanovic,2001,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA,KK FMP (Serbia),Other Team/Club,1
2210,Richard Jefferson,2001,1,13,13,Draft,1610612745,Houston,Rockets,HOU,Arizona,College/University,1
2211,Troy Murphy,2001,1,14,14,Draft,1610612744,Golden State,Warriors,GSW,Notre Dame,College/University,1
2212,Steven Hunter,2001,1,15,15,Draft,1610612753,Orlando,Magic,ORL,DePaul,College/University,1
2213,Kirk Haston,2001,1,16,16,Draft,1610612766,Charlotte,Hornets,CHH,Indiana,College/University,1
2214,Michael Bradley,2001,1,17,17,Draft,1610612761,Toronto,Raptors,TOR,Villanova,College/University,1
2215,Jason Collins,2001,1,18,18,Draft,1610612745,Houston,Rockets,HOU,Stanford,College/University,1
2216,Zach Randolph,2001,1,19,19,Draft,1610612757,Portland,Trail Blazers,POR,Michigan State,College/University,1
2217,Brendan Haywood,2001,1,20,20,Draft,1610612739,Cleveland,Cavaliers,CLE,North Carolina,College/University,1
2218,Joseph Forte,2001,1,21,21,Draft,1610612738,Boston,Celtics,BOS,North Carolina,College/University,1
2219,Jeryl Sasser,2001,1,22,22,Draft,1610612753,Orlando,Magic,ORL,Southern Methodist,College/University,1
2220,Brandon Armstrong,2001,1,23,23,Draft,1610612745,Houston,Rockets,HOU,Pepperdine,College/University,1
2221,Raul Lopez,2001,1,24,24,Draft,1610612762,Utah,Jazz,UTA,Real Madrid Baloncesto (Spain),Other Team/Club,1
2222,Gerald Wallace,2001,1,25,25,Draft,1610612758,Sacramento,Kings,SAC,Alabama,College/University,1
2223,Samuel Dalembert,2001,1,26,26,Draft,1610612755,Philadelphia,76ers,PHI,Seton Hall,College/University,1
2224,Jamaal Tinsley,2001,1,27,27,Draft,1610612763,Memphis,Grizzlies,MEM,Iowa State,College/University,1
2225,Tony Parker,2001,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS,Paris Basket Racing (France),Other Team/Club,1
2239,Trenton Hassell,2001,2,1,29,Draft,1610612741,Chicago,Bulls,CHI,Austin Peay,College/University,1
2240,Gilbert Arenas,2001,2,2,30,Draft,1610612744,Golden State,Warriors,GSW,Arizona,College/University,1
2241,Omar Cook,2001,2,3,31,Draft,1610612753,Orlando,Magic,ORL,St. John's (NY),College/University,1
2226,Will Solomon,2001,2,4,32,Draft,1610612763,Memphis,Grizzlies,MEM,Clemson,College/University,1
2242,Terence Morris,2001,2,5,33,Draft,1610612737,Atlanta,Hawks,ATL,Maryland,College/University,1
2243,Brian Scalabrine,2001,2,6,34,Draft,1610612751,New Jersey,Nets,NJN,Southern California,College/University,1
2244,Jeff Trepagnier,2001,2,7,35,Draft,1610612739,Cleveland,Cavaliers,CLE,Southern California,College/University,1
2245,Damone Brown,2001,2,8,36,Draft,1610612755,Philadelphia,76ers,PHI,Syracuse,College/University,1
2246,Mehmet Okur,2001,2,9,37,Draft,1610612765,Detroit,Pistons,DET,Anadolu Efes S.K. (Turkey),Other Team/Club,1
2247,Michael Wright,2001,2,10,38,Draft,1610612752,New York,Knicks,NYK,Arizona,College/University,0
2248,Earl Watson,2001,2,11,39,Draft,1610612760,Seattle,SuperSonics,SEA,California-Los Angeles,College/University,1
2249,Jamison Brewer,2001,2,12,40,Draft,1610612754,Indiana,Pacers,IND,Auburn,College/University,1
2250,Bobby Simmons,2001,2,13,41,Draft,1610612760,Seattle,SuperSonics,SEA,DePaul,College/University,1
2251,Eric Chenowith,2001,2,14,42,Draft,1610612752,New York,Knicks,NYK,Kansas,College/University,1
2252,Kyle Hill,2001,2,15,43,Draft,1610612742,Dallas,Mavericks,DAL,Eastern Illinois,College/University,0
2253,Sean Lampley,2001,2,16,44,Draft,1610612741,Chicago,Bulls,CHI,California,College/University,1
2254,Loren Woods,2001,2,17,45,Draft,1610612750,Minnesota,Timberwolves,MIN,Arizona,College/University,1
2255,Ousmane Cisse,2001,2,18,46,Draft,1610612743,Denver,Nuggets,DEN,St. Jude Educational Institute,High School,1
2238,Antonis Fotsis,2001,2,19,47,Draft,1610612763,Memphis,Grizzlies,MEM,Panathinaikos B.C. (Greece),Other Team/Club,1
2256,Ken Johnson,2001,2,20,48,Draft,1610612748,Miami,Heat,MIA,Ohio State,College/University,1
2257,Ruben Boumtje-Boumtje,2001,2,21,49,Draft,1610612757,Portland,Trail Blazers,POR,Georgetown,College/University,1
2228,Alton Ford,2001,2,22,50,Draft,1610612756,Phoenix,Suns,PHX,Houston,College/University,1
2259,Andre Hutson,2001,2,23,51,Draft,1610612749,Milwaukee,Bucks,MIL,Michigan State,College/University,0
2260,Jarron Collins,2001,2,24,52,Draft,1610612762,Utah,Jazz,UTA,Stanford,College/University,1
2261,Kenny Satterfield,2001,2,25,53,Draft,1610612742,Dallas,Mavericks,DAL,Cincinnati,College/University,1
2262,Maurice Jeffers,2001,2,26,54,Draft,1610612758,Sacramento,Kings,SAC,Saint Louis,College/University,0
2263,Robertas Javtokas,2001,2,27,55,Draft,1610612759,San Antonio,Spurs,SAS,BC Lietuvos rytas (Lithuania),Other Team/Club,0
2264,Alvin Jones,2001,2,28,56,Draft,1610612755,Philadelphia,76ers,PHI,Georgia Tech,College/University,1
2265,Bryan Bracey,2001,2,29,57,Draft,1610612759,San Antonio,Spurs,SAS,Oregon,College/University,0
2397,Yao Ming,2002,1,1,1,Draft,1610612745,Houston,Rockets,HOU,Shanghai Sharks (China),Other Team/Club,1
2398,Jay Williams,2002,1,2,2,Draft,1610612741,Chicago,Bulls,CHI,Duke,College/University,1
2399,Mike Dunleavy,2002,1,3,3,Draft,1610612744,Golden State,Warriors,GSW,Duke,College/University,1
2400,Drew Gooden,2002,1,4,4,Draft,1610612763,Memphis,Grizzlies,MEM,Kansas,College/University,1
2401,Nikoloz Tskitishvili,2002,1,5,5,Draft,1610612743,Denver,Nuggets,DEN,Universo Treviso Basket (Italy),Other Team/Club,1
2402,Dajuan Wagner,2002,1,6,6,Draft,1610612739,Cleveland,Cavaliers,CLE,Memphis,College/University,1
2403,Nene,2002,1,7,7,Draft,1610612752,New York,Knicks,NYK,CR Vasco da Gama (Brazil),Other Team/Club,1
2404,Chris Wilcox,2002,1,8,8,Draft,1610612746,Los Angeles,Clippers,LAC,Maryland,College/University,1
2405,Amar'e Stoudemire,2002,1,9,9,Draft,1610612756,Phoenix,Suns,PHX,Cypress Creek,High School,1
2406,Caron Butler,2002,1,10,10,Draft,1610612748,Miami,Heat,MIA,Connecticut,College/University,1
2407,Jared Jeffries,2002,1,11,11,Draft,1610612764,Washington,Wizards,WAS,Indiana,College/University,1
2408,Melvin Ely,2002,1,12,12,Draft,1610612746,Los Angeles,Clippers,LAC,Fresno State,College/University,1
2409,Marcus Haislip,2002,1,13,13,Draft,1610612749,Milwaukee,Bucks,MIL,Tennessee,College/University,1
2410,Fred Jones,2002,1,14,14,Draft,1610612754,Indiana,Pacers,IND,Oregon,College/University,1
2411,Bostjan Nachbar,2002,1,15,15,Draft,1610612745,Houston,Rockets,HOU,Universo Treviso Basket (Italy),Other Team/Club,1
2412,Jiri Welsch,2002,1,16,16,Draft,1610612755,Philadelphia,76ers,PHI,KK Olimpija (Slovenia),Other Team/Club,1
2413,Juan Dixon,2002,1,17,17,Draft,1610612764,Washington,Wizards,WAS,Maryland,College/University,1
2414,Curtis Borchardt,2002,1,18,18,Draft,1610612753,Orlando,Magic,ORL,Stanford,College/University,1
2415,Ryan Humphrey,2002,1,19,19,Draft,1610612762,Utah,Jazz,UTA,Notre Dame,College/University,1
2416,Kareem Rush,2002,1,20,20,Draft,1610612761,Toronto,Raptors,TOR,Missouri,College/University,1
2417,Qyntel Woods,2002,1,21,21,Draft,1610612757,Portland,Trail Blazers,POR,Northeast Mississippi Community College,College/University,1
2418,Casey Jacobsen,2002,1,22,22,Draft,1610612756,Phoenix,Suns,PHX,Stanford,College/University,1
2419,Tayshaun Prince,2002,1,23,23,Draft,1610612765,Detroit,Pistons,DET,Kentucky,College/University,1
2420,Nenad Krstic,2002,1,24,24,Draft,1610612751,New Jersey,Nets,NJN,KK Partizan (Serbia),Other Team/Club,1
2421,Frank Williams,2002,1,25,25,Draft,1610612743,Denver,Nuggets,DEN,Illinois,College/University,1
2422,John Salmons,2002,1,26,26,Draft,1610612759,San Antonio,Spurs,SAS,Miami (FL),College/University,1
2423,Chris Jefferies,2002,1,27,27,Draft,1610612747,Los Angeles,Lakers,LAL,Fresno State,College/University,1
2424,Dan Dickau,2002,1,28,28,Draft,1610612758,Sacramento,Kings,SAC,Gonzaga,College/University,1
2426,Steve Logan,2002,2,1,29,Draft,1610612744,Golden State,Warriors,GSW,Cincinnati,College/University,0
2427,Roger Mason Jr.,2002,2,2,30,Draft,1610612741,Chicago,Bulls,CHI,Virginia,College/University,1
2425,Robert Archibald,2002,2,3,31,Draft,1610612763,Memphis,Grizzlies,MEM,Illinois,College/University,1
2428,Vincent Yarbrough,2002,2,4,32,Draft,1610612743,Denver,Nuggets,DEN,Tennessee,College/University,1
2429,Dan Gadzuric,2002,2,5,33,Draft,1610612749,Milwaukee,Bucks,MIL,California-Los Angeles,College/University,1
2430,Carlos Boozer,2002,2,6,34,Draft,1610612739,Cleveland,Cavaliers,CLE,Duke,College/University,1
2525,Milos Vujanic,2002,2,7,35,Draft,1610612752,New York,Knicks,NYK,KK Partizan (Serbia),Other Team/Club,1
2431,David Andersen,2002,2,8,36,Draft,1610612737,Atlanta,Hawks,ATL,Virtus Pallacanestro Bologna (Italy),Other Team/Club,1
2432,Tito Maddox,2002,2,9,37,Draft,1610612745,Houston,Rockets,HOU,Fresno State,College/University,1
2433,Rod Grizzard,2002,2,10,38,Draft,1610612764,Washington,Wizards,WAS,Alabama,College/University,0
2434,Juan Carlos Navarro,2002,2,11,39,Draft,1610612764,Washington,Wizards,WAS,FC Barcelona Basquet (Spain),Other Team/Club,1
2435,Mario Kasun,2002,2,12,40,Draft,1610612746,Los Angeles,Clippers,LAC,Skyliners Frankfurt (Germany),Other Team/Club,1
2436,Flip Murray,2002,2,13,41,Draft,1610612749,Milwaukee,Bucks,MIL,Shaw,College/University,1
2438,Jason Jennings,2002,2,14,42,Draft,1610612757,Portland,Trail Blazers,POR,Arkansas State,College/University,0
2437,Lonny Baxter,2002,2,15,43,Draft,1610612741,Chicago,Bulls,CHI,Maryland,College/University,1
2439,Sam Clancy,2002,2,16,44,Draft,1610612755,Philadelphia,76ers,PHI,Southern California,College/University,1
2440,Matt Barnes,2002,2,17,45,Draft,1610612763,Memphis,Grizzlies,MEM,California-Los Angeles,College/University,1
2441,Jamal Sampson,2002,2,18,46,Draft,1610612762,Utah,Jazz,UTA,California,College/University,1
2442,Chris Owens,2002,2,19,47,Draft,1610612749,Milwaukee,Bucks,MIL,Texas,College/University,1
2526,Peter Fehse,2002,2,20,48,Draft,1610612760,Seattle,SuperSonics,SEA,SV Halle (Germany),Other Team/Club,0
2443,Darius Songaila,2002,2,21,49,Draft,1610612738,Boston,Celtics,BOS,Wake Forest,College/University,1
2444,Federico Kammerichs,2002,2,22,50,Draft,1610612757,Portland,Trail Blazers,POR,Club Ourense Baloncesto (Spain),Other Team/Club,0
2445,Marcus Taylor,2002,2,23,51,Draft,1610612750,Minnesota,Timberwolves,MIN,Michigan State,College/University,0
2446,Rasual Butler,2002,2,24,52,Draft,1610612748,Miami,Heat,MIA,La Salle,College/University,1
2447,Tamar Slay,2002,2,25,53,Draft,1610612751,New Jersey,Nets,NJN,Marshall,College/University,1
2448,Mladen Sekularac,2002,2,26,54,Draft,1610612742,Dallas,Mavericks,DAL,KK FMP (Serbia),Other Team/Club,0
2449,Luis Scola,2002,2,27,55,Draft,1610612759,San Antonio,Spurs,SAS,Saski Baskonia (Spain),Other Team/Club,1
2450,Randy Holcomb,2002,2,28,56,Draft,1610612759,San Antonio,Spurs,SAS,San Diego State,College/University,1
2451,Corsley Edwards,2002,2,29,57,Draft,1610612758,Sacramento,Kings,SAC,Central Connecticut State,College/University,1
2544,LeBron James,2003,1,1,1,Draft,1610612739,Cleveland,Cavaliers,CLE,Saint Vincent-Saint Mary,High School,1
2545,Darko Milicic,2003,1,2,2,Draft,1610612765,Detroit,Pistons,DET,KK Vrsac (Serbia),Other Team/Club,1
2546,Carmelo Anthony,2003,1,3,3,Draft,1610612743,Denver,Nuggets,DEN,Syracuse,College/University,1
2547,Chris Bosh,2003,1,4,4,Draft,1610612761,Toronto,Raptors,TOR,Georgia Tech,College/University,1
2548,Dwyane Wade,2003,1,5,5,Draft,1610612748,Miami,Heat,MIA,Marquette,College/University,1
2549,Chris Kaman,2003,1,6,6,Draft,1610612746,Los Angeles,Clippers,LAC,Central Michigan,College/University,1
2550,Kirk Hinrich,2003,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,Kansas,College/University,1
2551,T.J. Ford,2003,1,8,8,Draft,1610612749,Milwaukee,Bucks,MIL,Texas,College/University,1
2552,Michael Sweetney,2003,1,9,9,Draft,1610612752,New York,Knicks,NYK,Georgetown,College/University,1
2553,Jarvis Hayes,2003,1,10,10,Draft,1610612764,Washington,Wizards,WAS,Georgia,College/University,1
2554,Mickael Pietrus,2003,1,11,11,Draft,1610612744,Golden State,Warriors,GSW,Elan Bearnais Pau-Orthez (France),Other Team/Club,1
2555,Nick Collison,2003,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA,Kansas,College/University,1
2556,Marcus Banks,2003,1,13,13,Draft,1610612763,Memphis,Grizzlies,MEM,Nevada-Las Vegas,College/University,1
2557,Luke Ridnour,2003,1,14,14,Draft,1610612760,Seattle,SuperSonics,SEA,Oregon,College/University,1
2558,Reece Gaines,2003,1,15,15,Draft,1610612753,Orlando,Magic,ORL,Louisville,College/University,1
2559,Troy Bell,2003,1,16,16,Draft,1610612738,Boston,Celtics,BOS,Boston College,College/University,1
2560,Zarko Cabarkapa,2003,1,17,17,Draft,1610612756,Phoenix,Suns,PHX,KK Buducnost Podgorica (Montenegro),Other Team/Club,1
2561,David West,2003,1,18,18,Draft,1610612740,New Orleans,Hornets,NOH,Xavier,College/University,1
2562,Sasha Pavlovic,2003,1,19,19,Draft,1610612762,Utah,Jazz,UTA,KK Buducnost Podgorica (Montenegro),Other Team/Club,1
2563,Dahntay Jones,2003,1,20,20,Draft,1610612738,Boston,Celtics,BOS,Duke,College/University,1
2564,Boris Diaw,2003,1,21,21,Draft,1610612737,Atlanta,Hawks,ATL,Elan Bearnais Pau-Orthez (France),Other Team/Club,1
2565,Zoran Planinic,2003,1,22,22,Draft,1610612751,New Jersey,Nets,NJN,KK Cibona (Croatia),Other Team/Club,1
2566,Travis Outlaw,2003,1,23,23,Draft,1610612757,Portland,Trail Blazers,POR,Starkville,High School,1
2567,Brian Cook,2003,1,24,24,Draft,1610612747,Los Angeles,Lakers,LAL,Illinois,College/University,1
2568,Carlos Delfino,2003,1,25,25,Draft,1610612765,Detroit,Pistons,DET,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,1
2569,Ndudi Ebi,2003,1,26,26,Draft,1610612750,Minnesota,Timberwolves,MIN,Westbury Christian School,High School,1
2570,Kendrick Perkins,2003,1,27,27,Draft,1610612763,Memphis,Grizzlies,MEM,Clifton J. Ozen,High School,1
2571,Leandro Barbosa,2003,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS,Associacao Bauru Basketball Team (Brazil),Other Team/Club,1
2572,Josh Howard,2003,1,29,29,Draft,1610612742,Dallas,Mavericks,DAL,Wake Forest,College/University,1
2573,Maciej Lampe,2003,2,1,30,Draft,1610612752,New York,Knicks,NYK,Madrid (ESP),College/University,1
2574,Jason Kapono,2003,2,2,31,Draft,1610612739,Cleveland,Cavaliers,CLE,California-Los Angeles,College/University,1
2575,Luke Walton,2003,2,3,32,Draft,1610612747,Los Angeles,Lakers,LAL,Arizona,College/University,1
2602,Jerome Beasley,2003,2,4,33,Draft,1610612748,Miami,Heat,MIA,North Dakota,College/University,1
2577,Sofoklis Schortsanitis,2003,2,5,34,Draft,1610612746,Los Angeles,Clippers,LAC,Iraklis Thessaloniki B.C. (Greece),Other Team/Club,0
2578,Szymon Szewczyk,2003,2,6,35,Draft,1610612749,Milwaukee,Bucks,MIL,Basketball Lowen Braunschweig (Germany),Other Team/Club,0
2579,Mario Austin,2003,2,7,36,Draft,1610612741,Chicago,Bulls,CHI,Mississippi State,College/University,0
2580,Travis Hansen,2003,2,8,37,Draft,1610612737,Atlanta,Hawks,ATL,Brigham Young,College/University,1
2581,Steve Blake,2003,2,9,38,Draft,1610612764,Washington,Wizards,WAS,Maryland,College/University,1
2582,Slavko Vranes,2003,2,10,39,Draft,1610612752,New York,Knicks,NYK,KK Buducnost Podgorica (Montenegro),Other Team/Club,1
2583,Derrick Zimmerman,2003,2,11,40,Draft,1610612744,Golden State,Warriors,GSW,Mississippi State,College/University,1
2584,Willie Green,2003,2,12,41,Draft,1610612760,Seattle,SuperSonics,SEA,Detroit Mercy,College/University,1
2585,Zaza Pachulia,2003,2,13,42,Draft,1610612753,Orlando,Magic,ORL,Ulkerspor (Turkey),Other Team/Club,1
2586,Keith Bogans,2003,2,14,43,Draft,1610612749,Milwaukee,Bucks,MIL,Kentucky,College/University,1
2587,Malick Badiane,2003,2,15,44,Draft,1610612745,Houston,Rockets,HOU,TV Langen (Germany),Other Team/Club,1
2588,Matt Bonner,2003,2,16,45,Draft,1610612741,Chicago,Bulls,CHI,Florida,College/University,1
2589,Sani Becirovic,2003,2,17,46,Draft,1610612743,Denver,Nuggets,DEN,Virtus Pallacanestro Bologna (Italy),Other Team/Club,1
2590,Mo Williams,2003,2,18,47,Draft,1610612762,Utah,Jazz,UTA,Alabama,College/University,1
2591,James Lang,2003,2,19,48,Draft,1610612740,New Orleans,Hornets,NOH,Central Park Christian,High School,1
2592,James Jones,2003,2,20,49,Draft,1610612754,Indiana,Pacers,IND,Miami (FL),College/University,1
2593,Paccelis Morlende,2003,2,21,50,Draft,1610612755,Philadelphia,76ers,PHI,JDA Dijon Basket (France),Other Team/Club,0
2594,Kyle Korver,2003,2,22,51,Draft,1610612751,New Jersey,Nets,NJN,Creighton,College/University,1
2595,Remon Van de Hare,2003,2,23,52,Draft,1610612761,Toronto,Raptors,TOR,FC Barcelona Basquet (Spain),Other Team/Club,0
2596,Tommy Smith,2003,2,24,53,Draft,1610612741,Chicago,Bulls,CHI,Arizona State,College/University,1
2597,Nedzad Sinanovic,2003,2,25,54,Draft,1610612757,Portland,Trail Blazers,POR,HKK Brotnjo (Bosnia and Herzegovina),Other Team/Club,0
2598,Rick Rickert,2003,2,26,55,Draft,1610612750,Minnesota,Timberwolves,MIN,Minnesota,College/University,1
2599,Brandon Hunter,2003,2,27,56,Draft,1610612738,Boston,Celtics,BOS,Ohio,College/University,1
2600,Xue Yuyang,2003,2,28,57,Draft,1610612742,Dallas,Mavericks,DAL,Hong Kong Flying Dragons (China),Other Team/Club,0
2601,Andreas Glyniadakis,2003,2,29,58,Draft,1610612765,Detroit,Pistons,DET,A.E.K. Athens B.C. (Greece),Other Team/Club,1
2730,Dwight Howard,2004,1,1,1,Draft,1610612753,Orlando,Magic,ORL,Southwest Atlanta Christian Academy,High School,1
