SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
2007,12208,Ryvon,Covile,Ryvon Covile,C-PF,79.0,6' 7'',80.5,6' 8.5'',250,85.25,7' 1.25'',107.5,8' 11.5'',8.0,,,25.0,30.5,12.52,,3.37,19.0
2007,201159,Javaris,Crittenton,Javaris Crittenton,PG,75.0,6' 3'',76.75,6' 4.75'',194,77.5,6' 5.5'',98.0,8' 2'',4.5,,,32.5,38.0,11.6,,3.32,11.0
2007,201176,Jermareo,Davidson,Jermareo Davidson,PF,81.0,6' 9'',83.0,6' 11'',230,88.0,7' 4'',109.5,9' 1.5'',6.9,,,27.0,30.0,12.63,,3.53,7.0
2007,12209,Justin,Doellman,Justin Doellman,PF,80.0,6' 8'',81.5,6' 9.5'',205,80.75,6' 8.75'',105.0,8' 9'',7.0,,,,,,,,19.0
2007,12210,Zabian,Dowdell,Zabian Dowdell,PG,73.0,6' 1'',75.0,6' 3'',191,82.0,6' 10'',100.0,8' 4'',5.1,,,30.0,33.5,11.13,,3.29,3.0
2007,201162,Jared,Dudley,Jared Dudley,SF,77.0,6' 5'',79.25,6' 7.25'',219,79.0,6' 7'',102.0,8' 6'',7.1,,,28.0,32.0,11.32,,3.45,14.0
2007,201142,Kevin,Durant,Kevin Durant,SF-PF,81.0,6' 9'',82.25,6' 10.25'',215,88.75,7' 4.75'',110.0,9' 2'',6.6,,,26.0,33.5,12.33,,3.45,0.0
2007,12211,Rashaun,Freeman,Rashaun Freeman,PF,78.0,6' 6'',80.0,6' 8'',244,83.5,6' 11.5'',104.0,8' 8'',11.5,,,28.0,32.0,11.43,,3.41,20.0
2007,201189,Aaron,Gray,Aaron Gray,C,84.0,7' 0'',85.75,7' 1.75'',271,87.25,7' 3.25'',108.5,9' 0.5'',10.8,,,27.0,32.5,12.07,,3.7,17.0
2007,12212,Caleb,Green,Caleb Green,PF,78.0,6' 6'',80.0,6' 8'',238,83.75,6' 11.75'',103.0,8' 7'',10.9,,,28.5,36.0,11.72,,3.46,9.0
2007,201145,Jeff,Green,Jeff Green,SF,79.0,6' 7'',81.5,6' 9.5'',228,85.25,7' 1.25'',103.0,8' 7'',3.7,,,33.5,38.0,12.0,,3.34,17.0
2007,201192,Taurean,Green,Taurean Green,PG,71.0,5' 11'',72.75,6' 0.75'',173,74.25,6' 2.25'',96.0,8' 0'',4.6,,,29.0,32.5,11.3,,3.26,8.0
2007,201150,Spencer,Hawes,Spencer Hawes,PF,82.0,6' 10'',84.75,7' 0.75'',244,84.5,7' 0.5'',110.0,9' 2'',13.0,,,26.0,29.0,11.88,,3.51,9.0
2007,12214,Brandon,Heath,Brandon Heath,PG,74.0,6' 2'',75.75,6' 3.75'',181,79.0,6' 7'',94.0,7' 10'',9.0,,,32.0,36.0,11.39,,3.28,11.0
2007,201195,Herbert,Hill,Herbert Hill,C,79.0,6' 7'',81.75,6' 9.75'',232,86.25,7' 2.25'',108.5,9' 0.5'',5.6,,,30.5,34.0,12.31,,3.39,15.0
2007,201143,Al,Horford,Al Horford,PF,80.0,6' 8'',81.75,6' 9.75'',246,84.75,7' 0.75'',107.0,8' 11'',9.1,,,31.0,35.5,12.15,,3.37,20.0
2007,12215,Quinton,Hosley,Quinton Hosley,SF-SG,77.0,6' 5'',79.75,6' 7.75'',215,83.25,6' 11.25'',105.0,8' 9'',5.7,,,28.5,34.0,12.47,,3.32,12.0
2007,12216,James,Hughes,James Hughes,C,81.0,6' 9'',82.75,6' 10.75'',209,87.0,7' 3'',111.0,9' 3'',3.5,,,31.0,33.0,13.31,,3.37,8.0
2007,12217,Jeremy,Hunt,Jeremy Hunt,SG,74.0,6' 2'',76.75,6' 4.75'',198,80.25,6' 8.25'',101.5,8' 5.5'',5.2,,,30.5,33.0,12.11,,3.29,10.0
2007,12218,Ekene,Ibekwe,Ekene Ibekwe,PF,80.0,6' 8'',81.0,6' 9'',208,90.0,7' 6'',104.0,8' 8'',3.2,,,34.5,39.0,11.0,,3.28,10.0
2007,12219,Dominic,James,Dominic James,PG,70.0,5' 10'',71.75,5' 11.75'',175,74.0,6' 2'',93.0,7' 9'',4.8,,,33.5,38.5,10.94,,3.11,14.0
2007,201234,Trey,Johnson,Trey Johnson,SG,75.0,6' 3'',77.75,6' 5.75'',216,77.0,6' 5'',98.0,8' 2'',5.4,,,26.5,35.0,11.78,,3.31,18.0
2007,12220,Rashad,Jones-Jennings,Rashad Jones-Jennings,PF,78.0,6' 6'',79.5,6' 7.5'',235,84.0,7' 0'',105.5,8' 9.5'',5.9,,,25.0,30.0,12.18,,3.29,20.0
2007,201185,Jared,Jordan,Jared Jordan,PG,72.0,6' 0'',73.75,6' 1.75'',183,72.0,6' 0'',94.0,7' 10'',7.0,,,24.5,28.5,11.02,,3.39,6.0
2007,201207,Coby,Karl,Coby Karl,SG-PG,75.0,6' 3'',76.75,6' 4.75'',204,83.0,6' 11'',99.5,8' 3.5'',5.4,,,32.0,34.5,11.57,,3.41,9.0
2007,12221,Antanas,Kavaliauskas,Antanas Kavaliauskas,PF,81.0,6' 9'',82.5,6' 10.5'',237,82.5,6' 10.5'',106.5,8' 10.5'',7.7,,,25.5,30.0,11.19,,3.42,19.0
2007,201171,Carl,Landry,Carl Landry,PF,79.0,6' 7'',80.5,6' 8.5'',248,83.0,6' 11'',102.5,8' 6.5'',7.5,,,31.5,36.5,11.35,,3.29,21.0
2007,201186,Stephane,Lasme,Stephane Lasme,PF,77.0,6' 5'',79.0,6' 7'',213,86.0,7' 2'',107.0,8' 11'',4.9,,,29.5,36.0,11.73,,3.22,17.0
2007,201151,Acie,Law,Acie Law,PG,74.0,6' 2'',75.5,6' 3.5'',186,78.5,6' 6.5'',98.0,8' 2'',5.6,,,29.0,34.0,11.0,,3.22,8.0
2007,12222,Marko,Lekic,Marko Lekic,C,81.0,6' 9'',82.5,6' 10.5'',267,85.0,7' 1'',108.5,9' 0.5'',11.4,,,24.0,30.5,11.96,,3.43,19.0
2007,12223,Ron,Lewis,Ron Lewis,SG,74.0,6' 2'',76.5,6' 4.5'',194,78.5,6' 6.5'',99.0,8' 3'',4.5,,,33.0,38.0,11.59,,3.22,16.0
2007,201858,Cartier,Martin,Cartier Martin,SF,76.0,6' 4'',78.5,6' 6.5'',218,82.0,6' 10'',103.5,8' 7.5'',5.6,,,27.0,29.5,12.1,,3.43,11.0
2007,201187,Dominic,McGuire,Dominic McGuire,SF,79.0,6' 7'',80.25,6' 8.25'',220,82.5,6' 10.5'',104.0,8' 8'',4.7,,,28.5,34.5,10.95,,3.25,12.0
2007,201177,Josh,McRoberts,Josh McRoberts,PF,80.0,6' 8'',82.0,6' 10'',240,85.0,7' 1'',106.5,8' 10.5'',13.7,,,27.5,31.5,11.7,,3.47,12.0
2007,201197,Sammy,Mejia,Sammy Mejia,SG,77.0,6' 5'',79.0,6' 7'',218,83.0,6' 11'',105.0,8' 9'',8.3,,,27.0,31.5,11.87,,3.49,7.0
2007,12224,Brad,Newley,Brad Newley,SG,77.0,6' 5'',78.5,6' 6.5'',201,80.0,6' 8'',102.5,8' 6.5'',8.0,,,29.5,31.5,11.77,,3.29,3.0
2007,201193,Demetris,Nichols,Demetris Nichols,SF,78.0,6' 6'',79.5,6' 7.5'',211,84.25,7' 0.25'',105.0,8' 9'',6.2,,,28.5,32.5,10.39,,3.38,16.0
2007,201149,Joakim,Noah,Joakim Noah,PF,82.0,6' 10'',84.0,7' 0'',223,85.25,7' 1.25'',106.5,8' 10.5'',4.8,,,32.5,37.5,11.79,,3.47,12.0
2007,201141,Greg,Oden,Greg Oden,C,83.0,6' 11'',84.0,7' 0'',257,88.25,7' 4.25'',112.0,9' 4'',7.8,,,32.0,34.0,11.67,,3.27,
2007,12225,Ivan,Radenovic,Ivan Radenovic,PF,81.0,6' 9'',82.75,6' 10.75'',226,83.75,6' 11.75'',106.0,8' 10'',9.8,,,23.0,28.0,11.61,,3.6,7.0
2007,12226,JR,Reynolds,JR Reynolds,PG,72.0,6' 0'',74.75,6' 2.75'',188,75.25,6' 3.25'',95.0,7' 11'',8.2,,,27.5,34.5,11.69,,3.24,15.0
2007,201181,Chris,Richard,Chris Richard,PF,79.0,6' 7'',80.75,6' 8.75'',252,88.5,7' 4.5'',110.5,9' 2.5'',7.5,,,26.5,30.5,11.39,,3.29,15.0
2007,12227,Dustin,Salisbery,Dustin Salisbery,SG,75.0,6' 3'',76.75,6' 4.75'',208,80.0,6' 8'',100.5,8' 4.5'',6.6,,,34.0,38.0,11.07,,3.12,11.0
2007,12228,Blake,Schilb,Blake Schilb,SG,77.0,6' 5'',79.0,6' 7'',214,81.0,6' 9'',102.5,8' 6.5'',10.0,,,26.5,33.5,11.63,,3.36,11.0
2007,12229,Renaldas,Seibutis,Renaldas Seibutis,SG,76.0,6' 4'',77.75,6' 5.75'',185,80.75,6' 8.75'',101.0,8' 5'',6.1,,,24.0,32.5,11.33,,3.39,1.0
2007,201196,Ramon,Sessions,Ramon Sessions,PG,74.0,6' 2'',75.75,6' 3.75'',185,76.25,6' 4.25'',97.5,8' 1.5'',6.2,,,29.5,33.5,11.65,,3.27,8.0
2007,201203,Mustafa,Shakur,Mustafa Shakur,PG,75.0,6' 3'',76.5,6' 4.5'',185,77.5,6' 5.5'',99.0,8' 3'',4.1,,,28.5,35.0,11.82,,3.27,11.0
2007,201160,Jason,Smith,Jason Smith,PF,82.75,6' 10.75'',83.5,6' 11.5'',233,82.75,6' 10.75'',106.0,8' 10'',7.5,,,33.5,37.5,10.96,,3.29,15.0
2007,201199,DJ,Strawberry,DJ Strawberry,SG,75.75,6' 3.75'',77.0,6' 5'',199,78.5,6' 6.5'',101.0,8' 5'',4.5,,,28.5,35.0,10.87,,3.14,21.0
2007,201155,Rodney,Stuckey,Rodney Stuckey,SG-PG,75.75,6' 3.75'',76.5,6' 4.5'',207,79.25,6' 7.25'',100.5,8' 4.5'',6.1,,,30.5,35.0,11.34,,3.11,14.0
2007,12230,Curtis,Sumpter,Curtis Sumpter,SF,78.0,6' 6'',79.75,6' 7.75'',227,81.5,6' 9.5'',104.0,8' 8'',5.3,,,27.5,32.5,11.3,,3.22,12.0
2007,201180,Yue,Sun,Yue Sun,SF,79.75,6' 7.75'',80.75,6' 8.75'',212,81.0,6' 9'',105.0,8' 9'',5.1,,,29.0,34.0,10.68,,3.45,9.0
2007,201249,Jamaal,Tatum,Jamaal Tatum,PG,71.5,5' 11.5'',72.75,6' 0.75'',168,74.5,6' 2.5'',93.5,7' 9.5'',5.0,,,28.5,33.0,11.51,,3.22,7.0
2007,12232,Reyshawn,Terry,Reyshawn Terry,SF,78.75,6' 6.75'',79.5,6' 7.5'',222,82.0,6' 10'',103.5,8' 7.5'',8.9,,,31.0,37.5,11.76,,3.26,18.0
2007,201154,Al,Thornton,Al Thornton,SF,77.75,6' 5.75'',79.0,6' 7'',221,85.0,7' 1'',104.0,8' 8'',5.8,,,35.0,41.0,11.96,,3.16,9.0
2007,201229,Anthony,Tolliver,Anthony Tolliver,PF,79.0,6' 7'',80.5,6' 8.5'',242,86.5,7' 2.5'',107.5,8' 11.5'',5.7,,,28.5,30.0,11.49,,3.29,21.0
2007,12233,Ali,Traore,Ali Traore,C-PF,80.75,6' 8.75'',81.75,6' 9.75'',249,88.0,7' 4'',108.5,9' 0.5'',12.1,,,25.0,29.0,12.16,,3.52,11.0
2007,12234,Kyle,Visser,Kyle Visser,C,82.0,6' 10'',83.5,6' 11.5'',242,83.0,6' 11'',108.0,9' 0'',10.2,,,26.0,29.0,12.6,,3.39,18.0
2007,201208,Darryl,Watkins,Darryl Watkins,C,80.75,6' 8.75'',82.25,6' 10.25'',241,87.0,7' 3'',110.0,9' 2'',6.9,,,26.5,31.0,11.65,,3.56,14.0
2007,12235,Major,Wingate,Major Wingate,C,80.5,6' 8.5'',82.75,6' 10.75'',242,88.0,7' 4'',109.0,9' 1'',6.7,,,27.5,30.5,12.14,,3.47,15.0
2007,12236,DaShaun,Wood,DaShaun Wood,PG,70.75,5' 10.75'',71.5,5' 11.5'',167,72.75,6' 0.75'',92.0,7' 8'',5.4,,,31.5,34.5,11.4,,3.23,13.0
2007,201148,Brandan,Wright,Brandan Wright,PF,80.75,6' 8.75'',82.0,6' 10'',200,87.75,7' 3.75'',108.5,9' 0.5'',5.8,,,30.5,35.5,11.76,,3.31,2.0
2007,201153,Julian,Wright,Julian Wright,SF-PF,78.5,6' 6.5'',80.5,6' 8.5'',211,86.25,7' 2.25'',108.0,9' 0'',6.1,,,28.5,33.5,11.48,,3.36,2.0
2007,12237,Avis,Wyatt,Avis Wyatt,PF,80.75,6' 8.75'',81.5,6' 9.5'',212,85.0,7' 1'',107.0,8' 11'',3.3,,,27.5,32.0,11.46,,3.23,12.0
2007,201146,Jianlian,Yi,Jianlian Yi,,,,,,,,,,,,,,,,,,,
2007,201152,Thaddeus,Young,Thaddeus Young,SF,77.75,6' 5.75'',79.5,6' 7.5'',210,83.5,6' 11.5'',106.0,8' 10'',4.9,,,34.5,37.0,11.06,,3.19,13.0
2007,201156,Nick,Young,Nick Young,SG-SF,77.0,6' 5'',78.75,6' 6.75'',206,84.0,7' 0'',100.5,8' 4.5'',6.8,,,39.5,40.5,11.0,,3.25,6.0
