player_name,OVERALL_PICK,SEASON,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Jamison Brewer,40,2001,97,64,230,2.0,48.0,92.0,49.0,0.469,1035.0,20.0
Bobby Simmons,41,2001,149,124,248,4.0,23.0,60.0,97.0,0.447,981.0,20.0
Eric Chenowith,42,2001,111,93,250,49.0,11.0,70.0,99.0,0.457,746.0,21.0
Kyle Hill,43,2001,250,151,151,23.0,46.0,89.0,57.0,0.473,1042.0,21.0
Sean Lampley,44,2001,209,180,224,14.0,29.0,112.0,79.0,0.502,1073.0,21.0
Loren Woods,45,2001,63,67,157,50.0,8.0,37.0,50.0,0.401,554.0,19.0
Loren Woods,45,2001,133,117,189,84.0,19.0,59.0,64.0,0.504,879.0,22.0
Ken Johnson,48,2001,145,96,226,125.0,12.0,73.0,81.0,0.578,916.0,22.0
Ruben Boumtje-Boumtje,49,2001,105,89,225,78.0,22.0,73.0,84.0,0.517,713.0,22.0
Alton Ford,50,2001,95,81,154,19.0,5.0,66.0,97.0,0.432,663.0,19.0
Andre Hutson,51,2001,173,95,244,17.0,27.0,52.0,79.0,0.622,956.0,22.0
Jarron Collins,52,2001,154,125,229,19.0,21.0,50.0,86.0,0.558,963.0,22.0
Kenny Satterfield,53,2001,163,130,165,6.0,60.0,111.0,89.0,0.387,1203.0,19.0
Maurice Jeffers,54,2001,158,160,190,16.0,27.0,69.0,87.0,0.449,1011.0,21.0
Robertas Javtokas,55,2001,3,0,10,4.0,1.0,1.0,9.0,0.375,55.0,19.0
Alvin Jones,56,2001,134,133,312,101.0,28.0,90.0,96.0,0.482,875.0,22.0
Bryan Bracey,57,2001,177,130,200,9.0,27.0,74.0,68.0,0.493,858.0,22.0
Jay Williams,2,2002,249,140,124,3.0,76.0,131.0,80.0,0.457,1175.0,20.0
Mike Dunleavy,3,2002,218,81,251,26.0,80.0,61.0,79.0,0.483,1133.0,21.0
Drew Gooden,4,2002,285,154,423,53.0,65.0,108.0,91.0,0.504,1119.0,20.0
Dajuan Wagner,6,2002,265,166,89,20.0,43.0,105.0,101.0,0.41,1146.0,18.0
Chris Wilcox,8,2002,173,86,257,53.0,28.0,53.0,97.0,0.504,866.0,19.0
Caron Butler,10,2002,253,155,256,13.0,71.0,98.0,75.0,0.486,1223.0,21.0
Jared Jeffries,11,2002,189,134,273,46.0,54.0,102.0,88.0,0.457,1175.0,20.0
Melvin Ely,12,2002,246,161,254,88.0,19.0,73.0,67.0,0.563,999.0,23.0
Marcus Haislip,13,2002,161,80,167,44.0,11.0,51.0,86.0,0.518,839.0,21.0
Fred Jones,14,2002,215,169,189,18.0,63.0,82.0,94.0,0.521,1103.0,22.0
Juan Dixon,17,2002,251,141,166,7.0,92.0,89.0,72.0,0.469,1209.0,23.0
Curtis Borchardt,18,2002,171,138,332,83.0,17.0,57.0,82.0,0.576,896.0,21.0
Ryan Humphrey,19,2002,140,63,232,61.0,24.0,61.0,112.0,0.502,831.0,19.0
Ryan Humphrey,19,2002,231,122,337,87.0,33.0,77.0,83.0,0.489,1103.0,22.0
Kareem Rush,20,2002,249,103,188,22.0,39.0,103.0,76.0,0.426,1149.0,21.0
Qyntel Woods,21,2002,239,230,229,19.0,34.0,68.0,73.0,0.483,722.0,20.0
Casey Jacobsen,22,2002,205,184,135,3.0,18.0,73.0,55.0,0.441,1058.0,20.0
Tayshaun Prince,23,2002,206,83,202,43.0,34.0,64.0,51.0,0.467,1067.0,21.0
Frank Williams,25,2002,174,164,163,10.0,71.0,96.0,73.0,0.393,1135.0,21.0
John Salmons,26,2002,137,123,191,20.0,57.0,119.0,75.0,0.461,1077.0,22.0
Chris Jefferies,27,2002,102,37,132,46.0,25.0,67.0,66.0,0.445,720.0,18.0
Chris Jefferies,27,2002,115,92,133,25.0,25.0,51.0,58.0,0.418,726.0,21.0
Dan Dickau,28,2002,22,5,38,0.0,11.0,28.0,27.0,0.393,296.0,20.0
Dan Dickau,28,2002,195,165,95,4.0,26.0,92.0,61.0,0.441,1110.0,23.0
Steve Logan,29,2002,246,192,107,0.0,32.0,86.0,63.0,0.457,1195.0,21.0
Robert Archibald,31,2002,114,134,188,38.0,25.0,67.0,123.0,0.659,769.0,21.0
Vincent Yarbrough,32,2002,194,112,234,25.0,58.0,93.0,60.0,0.425,1097.0,20.0
Dan Gadzuric,33,2002,164,58,255,42.0,18.0,52.0,89.0,0.554,865.0,23.0
Carlos Boozer,34,2002,230,178,303,21.0,31.0,65.0,107.0,0.665,993.0,20.0
Tito Maddox,37,2002,110,97,144,5.0,41.0,130.0,67.0,0.391,807.0,19.0
Rod Grizzard,38,2002,166,122,213,25.0,38.0,80.0,76.0,0.423,1078.0,21.0
Jason Jennings,42,2002,59,14,84,36.0,11.0,26.0,51.0,0.567,406.0,19.0
Jason Jennings,42,2002,170,98,198,101.0,10.0,58.0,95.0,0.567,842.0,22.0
Lonny Baxter,43,2002,193,147,288,69.0,33.0,76.0,103.0,0.545,1005.0,23.0
Sam Clancy,44,2002,236,138,302,48.0,56.0,55.0,99.0,0.494,1203.0,21.0
Matt Barnes,45,2002,152,73,192,10.0,35.0,87.0,75.0,0.471,953.0,21.0
Jamal Sampson,46,2002,78,50,209,54.0,15.0,53.0,85.0,0.426,797.0,18.0
Chris Owens,47,2002,56,54,140,30.0,25.0,51.0,61.0,0.384,552.0,18.0
Chris Owens,47,2002,62,47,81,21.0,8.0,19.0,27.0,0.5,299.0,22.0
Darius Songaila,49,2002,204,193,276,27.0,45.0,119.0,104.0,0.523,1036.0,23.0
Marcus Taylor,51,2002,164,100,83,3.0,31.0,91.0,52.0,0.4,997.0,20.0
Rasual Butler,52,2002,233,147,283,43.0,41.0,84.0,55.0,0.434,1252.0,22.0
Tamar Slay,53,2002,196,95,161,16.0,49.0,89.0,81.0,0.446,1031.0,21.0
Randy Holcomb,56,2002,63,30,93,15.0,15.0,51.0,40.0,0.492,419.0,19.0
Randy Holcomb,56,2002,220,106,296,32.0,24.0,116.0,83.0,0.516,1067.0,22.0
Corsley Edwards,57,2002,178,137,278,48.0,44.0,71.0,77.0,0.504,992.0,22.0
Emeka Okafor,2,2004,261,113,415,147.0,36.0,84.0,85.0,0.599,1166.0,21.0
Ben Gordon,3,2004,239,141,184,6.0,53.0,108.0,91.0,0.434,1346.0,20.0
Devin Harris,5,2004,189,171,139,4.0,56.0,66.0,62.0,0.459,1162.0,20.0
Josh Childress,6,2004,124,78,173,37.0,20.0,51.0,54.0,0.488,685.0,20.0
Luol Deng,7,2004,210,98,255,39.0,49.0,83.0,82.0,0.476,1149.0,18.0
Andre Iguodala,9,2004,136,93,253,11.0,48.0,83.0,75.0,0.45,962.0,20.0
Luke Jackson,10,2004,210,163,223,5.0,39.0,93.0,53.0,0.488,1072.0,22.0
Kris Humphries,14,2004,221,170,294,33.0,27.0,82.0,65.0,0.444,990.0,18.0
Kirk Snyder,16,2004,209,166,195,22.0,35.0,119.0,72.0,0.431,1079.0,20.0
Jameer Nelson,20,2004,234,118,150,1.0,89.0,91.0,59.0,0.475,1085.0,21.0
Delonte West,24,2004,212,124,172,6.0,55.0,82.0,60.0,0.51,1073.0,20.0
Tony Allen,25,2004,207,101,194,19.0,34.0,68.0,73.0,0.51,967.0,19.0
Tony Allen,25,2004,204,131,193,30.0,72.0,98.0,105.0,0.504,1107.0,22.0
Kevin Martin,26,2004,208,206,130,8.0,50.0,84.0,52.0,0.474,843.0,20.0
David Harrison,29,2004,186,125,254,85.0,17.0,78.0,94.0,0.631,916.0,21.0
Jackson Vroman,31,2004,186,72,307,22.0,46.0,101.0,112.0,0.564,983.0,22.0
Lionel Chalmers,33,2004,204,105,122,1.0,40.0,103.0,78.0,0.449,1293.0,23.0
Donta Smith,34,2004,278,231,236,19.0,34.0,68.0,73.0,0.54,1037.5,20.0
Andre Emmett,35,2004,260,165,225,10.0,44.0,70.0,49.0,0.526,1259.0,21.0
Antonio Burks,36,2004,176,72,96,7.0,71.0,74.0,69.0,0.474,1030.0,23.0
Royal Ivey,37,2004,111,77,133,8.0,41.0,51.0,83.0,0.448,979.0,22.0
Chris Duhon,38,2004,138,65,150,7.0,80.0,104.0,76.0,0.448,1311.0,21.0
Justin Reed,40,2004,193,117,209,23.0,19.0,83.0,86.0,0.464,939.0,22.0
David Young,41,2004,18,8,23,0.0,7.0,4.0,13.0,0.34,152.0,21.0
Trevor Ariza,43,2004,107,57,162,11.0,42.0,81.0,69.0,0.426,789.0,18.0
Tim Pickett,44,2004,185,63,149,12.0,82.0,79.0,83.0,0.434,985.0,22.0
Bernard Robinson,45,2004,150,94,194,10.0,64.0,93.0,84.0,0.432,1095.0,23.0
Pape Sow,47,2004,160,156,272,16.0,44.0,85.0,101.0,0.494,901.0,22.0
Ricky Minard,48,2004,210,166,213,15.0,60.0,106.0,73.0,0.451,994.0,21.0
Christian Drejer,51,2004,74,33,95,6.0,20.0,50.0,54.0,0.468,589.0,21.0
Romain Sato,52,2004,179,170,297,5.0,47.0,63.0,89.0,0.404,1366.0,22.0
Matt Freije,53,2004,185,175,178,21.0,23.0,34.0,53.0,0.415,985.0,22.0
Rickey Paulding,54,2004,144,111,129,12.0,31.0,78.0,58.0,0.397,1051.0,21.0
Luis Flores,55,2004,38,35,41,0.0,14.0,36.0,25.0,0.463,312.0,18.0
Luis Flores,55,2004,234,208,122,4.0,60.0,73.0,76.0,0.442,1121.0,22.0
Marcus Douthit,56,2004,82,63,170,92.0,45.0,76.0,87.0,0.446,861.0,23.0
Blake Stepp,58,2004,143,88,142,4.0,36.0,93.0,58.0,0.431,1065.0,21.0
Rashad Wright,59,2004,134,82,85,13.0,53.0,63.0,53.0,0.424,1077.0,21.0
Andrew Bogut,1,2005,281,144,427,65.0,34.0,96.0,78.0,0.62,1224.0,20.0
Marvin Williams,2,2005,125,138,236,17.0,39.0,56.0,92.0,0.506,800.0,18.0
Deron Williams,3,2005,178,65,142,8.0,38.0,109.0,80.0,0.433,1315.0,20.0
Chris Paul,4,2005,143,156,144,1.0,76.0,89.0,82.0,0.451,1069.0,19.0
Raymond Felton,5,2005,150,94,155,11.0,72.0,129.0,71.0,0.455,1142.0,20.0
Charlie Villanueva,7,2005,159,97,257,57.0,20.0,70.0,68.0,0.521,798.0,20.0
Channing Frye,8,2005,227,127,282,85.0,35.0,64.0,95.0,0.554,1148.0,21.0
Ike Diogu,9,2005,229,248,312,75.0,18.0,115.0,88.0,0.575,1164.0,21.0
Sean May,13,2005,228,191,397,38.0,43.0,94.0,88.0,0.567,992.0,20.0
Rashad McCants,14,2005,183,91,99,22.0,43.0,63.0,80.0,0.489,856.0,20.0
Antoine Wright,15,2005,193,96,185,22.0,36.0,75.0,79.0,0.501,1052.0,20.0
Joey Graham,16,2005,134,98,163,15.0,20.0,66.0,88.0,0.51,832.0,19.0
Joey Graham,16,2005,201,157,204,5.0,30.0,88.0,102.0,0.529,1009.0,22.0
Danny Granger,17,2005,99,65,111,19.0,19.0,31.0,54.0,0.518,380.0,19.0
Danny Granger,17,2005,183,154,266,60.0,63.0,72.0,72.0,0.524,900.0,21.0
Hakim Warrick,19,2005,253,211,294,27.0,33.0,86.0,79.0,0.548,1275.0,22.0
Julius Hodge,20,2005,197,169,225,24.0,48.0,89.0,75.0,0.493,1177.0,21.0
Nate Robinson,21,2005,188,136,135,6.0,61.0,71.0,99.0,0.463,1101.0,20.0
Jarrett Jack,22,2005,164,123,155,3.0,58.0,110.0,54.0,0.514,1091.0,21.0
Luther Head,24,2005,214,78,155,9.0,67.0,69.0,54.0,0.463,1297.0,22.0
Jason Maxiell,26,2005,164,176,254,90.0,33.0,64.0,82.0,0.543,1037.0,21.0
Linas Kleiza,27,2005,165,169,250,9.0,20.0,89.0,92.0,0.403,1038.0,20.0
Wayne Simien,29,2005,191,142,287,16.0,15.0,60.0,67.0,0.552,892.0,21.0
David Lee,30,2005,160,115,288,24.0,34.0,85.0,76.0,0.525,897.0,21.0
Salim Stoudamire,31,2005,210,122,83,4.0,30.0,85.0,66.0,0.504,1126.0,22.0
Daniel Ewing,32,2005,181,74,104,13.0,65.0,98.0,99.0,0.427,1138.0,21.0
Brandon Bass,33,2005,181,146,272,48.0,24.0,54.0,73.0,0.567,1007.0,19.0
Ronny Turiaf,37,2005,157,177,295,59.0,12.0,70.0,83.0,0.508,967.0,22.0
Travis Diener,38,2005,131,124,90,1.0,31.0,58.0,46.0,0.42,783.0,22.0
Von Wafer,39,2005,124,49,73,8.0,30.0,49.0,33.0,0.437,758.0,19.0
Chris Taft,42,2005,159,68,218,50.0,11.0,47.0,48.0,0.58,769.0,19.0
Erazem Lorbek,46,2005,87,37,115,19.0,22.0,38.0,58.0,0.534,541.0,18.0
Bracey Wright,47,2005,150,126,125,15.0,29.0,68.0,50.0,0.413,917.0,20.0
Ryan Gomes,50,2005,247,124,255,5.0,47.0,76.0,50.0,0.496,1161.0,22.0
Robert Whaley,51,2005,48,31,54,8.0,6.0,24.0,47.0,0.348,286.0,21.0
Robert Whaley,51,2005,203,84,224,19.0,34.0,68.0,73.0,0.498,801.0,20.0
Robert Whaley,51,2005,294,105,263,19.0,34.0,68.0,73.0,0.512,1049.0,22.0
Orien Greene,53,2005,63,14,88,6.0,61.0,49.0,81.0,0.434,737.0,19.0
Orien Greene,53,2005,92,62,113,8.0,68.0,83.0,71.0,0.388,793.0,22.0
Dijon Thompson,54,2005,183,107,222,9.0,42.0,91.0,61.0,0.474,970.0,21.0
Lawrence Roberts,55,2005,133,119,271,29.0,45.0,61.0,67.0,0.421,838.0,20.0
Lawrence Roberts,55,2005,171,188,351,26.0,50.0,87.0,69.0,0.448,1023.0,22.0
Alex Acker,60,2005,183,91,201,15.0,40.0,82.0,58.0,0.45,1152.0,22.0
LaMarcus Aldridge,2,2006,219,117,339,73.0,50.0,59.0,92.0,0.569,1247.0,20.0
Adam Morrison,3,2006,306,240,182,11.0,35.0,76.0,66.0,0.496,1205.0,21.0
Tyrus Thomas,4,2006,152,90,295,99.0,33.0,59.0,82.0,0.608,829.0,19.0
Shelden Williams,5,2006,237,201,384,137.0,60.0,89.0,114.0,0.578,1198.0,22.0
Brandon Roy,6,2006,228,171,186,26.0,46.0,75.0,81.0,0.508,1046.0,21.0
Randy Foye,7,2006,226,136,190,21.0,46.0,71.0,71.0,0.411,1145.0,22.0
Rudy Gay,8,2006,187,101,210,52.0,58.0,82.0,75.0,0.461,1015.0,19.0
Patrick O'Bryant,9,2006,133,69,207,72.0,22.0,52.0,74.0,0.552,642.0,19.0
JJ Redick,11,2006,302,221,71,2.0,52.0,90.0,54.0,0.47,1336.0,21.0
Hilton Armstrong,12,2006,118,92,226,107.0,21.0,77.0,94.0,0.608,943.0,21.0
Ronnie Brewer,14,2006,197,144,154,15.0,83.0,70.0,46.0,0.441,1112.0,20.0
Cedric Simmons,15,2006,128,120,203,80.0,21.0,59.0,98.0,0.587,880.0,20.0
Rodney Carney,16,2006,220,94,158,25.0,49.0,54.0,84.0,0.436,1007.0,21.0
Shawne Williams,17,2006,156,114,222,49.0,50.0,81.0,105.0,0.416,982.0,19.0
Quincy Douby,19,2006,287,149,141,27.0,58.0,92.0,61.0,0.462,1211.0,21.0
Renaldo Balkman,20,2006,152,56,239,48.0,65.0,65.0,84.0,0.608,978.0,21.0
Rajon Rondo,21,2006,147,68,209,5.0,69.0,79.0,70.0,0.482,1054.0,19.0
Marcus Williams,22,2006,83,94,89,5.0,21.0,85.0,38.0,0.407,767.0,20.0
Josh Boone,23,2006,137,76,238,69.0,13.0,42.0,72.0,0.564,922.0,21.0
Kyle Lowry,24,2006,117,121,143,8.0,77.0,70.0,94.0,0.466,967.0,19.0
Shannon Brown,25,2006,202,117,150,5.0,50.0,85.0,78.0,0.467,1196.0,20.0
Jordan Farmar,26,2006,172,91,95,9.0,41.0,135.0,63.0,0.41,1125.0,19.0
Maurice Ager,28,2006,226,121,139,11.0,23.0,87.0,81.0,0.457,1170.0,21.0
Mardy Collins,29,2006,202,90,150,6.0,89.0,65.0,71.0,0.432,1212.0,21.0
James White,31,2006,71,20,86,17.0,27.0,48.0,61.0,0.42,615.0,19.0
James White,31,2006,177,134,167,28.0,36.0,77.0,89.0,0.488,1104.0,23.0
Steve Novak,32,2006,173,74,183,4.0,18.0,32.0,64.0,0.477,1047.0,22.0
Solomon Jones,33,2006,139,105,285,89.0,25.0,101.0,99.0,0.484,1056.0,21.0
Paul Davis,34,2006,206,160,301,29.0,34.0,81.0,103.0,0.566,1018.0,21.0
P.J. Tucker,35,2006,225,142,353,13.0,66.0,115.0,105.0,0.515,1276.0,20.0
Craig Smith,36,2006,243,146,339,29.0,44.0,89.0,107.0,0.573,1305.0,22.0
Bobby Jones,37,2006,113,88,163,17.0,40.0,66.0,104.0,0.473,874.0,22.0
David Noel,39,2006,158,45,211,23.0,34.0,95.0,84.0,0.532,1045.0,21.0
Denham Brown,40,2006,117,79,141,12.0,25.0,53.0,53.0,0.403,754.0,23.0
James Augustine,41,2006,174,99,300,24.0,47.0,67.0,84.0,0.624,1079.0,21.0
Daniel Gibson,42,2006,163,69,133,12.0,49.0,70.0,88.0,0.405,1228.0,19.0
Alexander Johnson,45,2006,127,120,216,30.0,31.0,82.0,93.0,0.54,723.0,22.0
Dee Brown,46,2006,157,78,102,1.0,53.0,94.0,61.0,0.359,1183.0,21.0
Paul Millsap,47,2006,258,127,438,76.0,62.0,83.0,101.0,0.571,1126.0,20.0
Leon Powe,49,2006,178,194,273,15.0,24.0,66.0,67.0,0.496,953.0,22.0
Ryan Hollins,50,2006,83,65,157,29.0,7.0,38.0,84.0,0.619,710.0,21.0
Hassan Adams,54,2006,234,58,155,14.0,82.0,69.0,60.0,0.478,1031.0,21.0
Will Blalock,60,2006,177,60,99,2.0,65.0,89.0,55.0,0.447,1072.0,22.0
Greg Oden,1,2007,189,123,306,105.0,18.0,64.0,87.0,0.616,925.0,19.0
Kevin Durant,2,2007,306,209,390,67.0,66.0,99.0,71.0,0.473,1255.0,18.0
Al Horford,3,2007,186,130,360,70.0,28.0,68.0,94.0,0.608,1058.0,20.0
Mike Conley,4,2007,160,100,134,10.0,87.0,86.0,60.0,0.518,1231.0,19.0
Jeff Green,5,2007,196,100,236,43.0,30.0,96.0,92.0,0.513,1232.0,20.0
Corey Brewer,7,2007,169,112,173,15.0,69.0,93.0,72.0,0.475,1072.0,20.0
Brandan Wright,8,2007,228,89,229,65.0,36.0,59.0,55.0,0.646,1013.0,19.0
Joakim Noah,9,2007,173,132,337,72.0,45.0,100.0,90.0,0.607,1034.0,21.0
Spencer Hawes,10,2007,193,74,197,54.0,16.0,78.0,70.0,0.532,896.0,18.0
Acie Law,11,2007,216,144,113,1.0,39.0,88.0,83.0,0.5,1153.0,22.0
Thaddeus Young,12,2007,177,52,151,12.0,39.0,67.0,61.0,0.478,917.0,18.0
Julian Wright,13,2007,190,73,298,49.0,55.0,91.0,94.0,0.549,1048.0,19.0
Al Thornton,14,2007,244,166,251,40.0,53.0,87.0,95.0,0.53,1092.0,23.0
Rodney Stuckey,15,2007,227,215,135,9.0,71.0,98.0,68.0,0.453,965.0,20.0
Nick Young,16,2007,239,125,171,10.0,27.0,90.0,92.0,0.525,1227.0,21.0
Sean Williams,17,2007,63,56,104,75.0,21.0,35.0,48.0,0.548,483.0,20.0
Javaris Crittenton,19,2007,158,108,119,2.0,65.0,124.0,67.0,0.45,1003.0,19.0
Jason Smith,20,2007,175,154,304,47.0,16.0,102.0,94.0,0.579,905.0,20.0
Daequan Cook,21,2007,141,46,167,10.0,28.0,56.0,66.0,0.445,770.0,19.0
Jared Dudley,22,2007,195,142,248,10.0,42.0,78.0,66.0,0.562,1152.0,21.0
Wilson Chandler,23,2007,194,70,235,47.0,22.0,55.0,96.0,0.45,1079.0,19.0
Morris Almond,25,2007,263,241,210,24.0,38.0,109.0,68.0,0.483,1069.0,21.0
Aaron Brooks,26,2007,213,115,149,6.0,48.0,89.0,88.0,0.46,1289.0,22.0
Arron Afflalo,27,2007,210,101,99,8.0,22.0,64.0,66.0,0.461,1186.0,21.0
Alando Tucker,29,2007,256,164,196,10.0,33.0,60.0,45.0,0.47,1181.0,22.0
Carl Landry,31,2007,219,201,249,32.0,40.0,102.0,99.0,0.597,1035.0,23.0
Gabe Pruitt,32,2007,104,68,73,7.0,47.0,48.0,56.0,0.416,861.0,20.0
Marcus Williams,33,2007,196,82,200,23.0,33.0,80.0,66.0,0.494,987.0,20.0
Nick Fazekas,34,2007,248,128,354,48.0,24.0,64.0,74.0,0.568,969.0,21.0
Glen Davis,35,2007,178,139,303,28.0,32.0,82.0,67.0,0.484,1016.0,21.0
Jermareo Davidson,36,2007,149,117,247,70.0,23.0,50.0,54.0,0.407,968.0,22.0
Josh McRoberts,37,2007,164,97,260,82.0,39.0,80.0,83.0,0.502,1164.0,19.0
Chris Richard,41,2007,98,52,147,12.0,13.0,47.0,92.0,0.69,726.0,22.0
Derrick Byars,42,2007,85,37,105,6.0,19.0,43.0,84.0,0.467,648.0,19.0
Derrick Byars,42,2007,206,86,165,4.0,48.0,80.0,81.0,0.457,1068.0,22.0
Adam Haluska,43,2007,103,38,112,13.0,23.0,39.0,83.0,0.398,887.0,19.0
